Station_Names,Latitude,Longitude,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM
"Alipur, Delhi - DPCC",28.81533,77.15301,327,421,342,339,309,280,213,160,163,120,92,67,70,73,170,306,338,351,366,395,383,388,383,379
"Anand Vihar, Delhi - DPCC",28.64762,77.31581,304,305,243,277,277,247,0,0,0,0,137,75,82,320,326,370,380,408,411,422,414,398,418,426
"Ashok Vihar, Delhi - DPCC",28.69538,77.18167,280,250,243,260,287,237,233,160,167,127,127,83,80,120,312,332,350,388,419,417,416,430,414,413
"DTU, Delhi - CPCB",28.75005,77.11126,87,167,95,115,106,0,38,122,81,85,46,57,47,46,108,242,220,273,301,246,234,189,193,229
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.49857,77.26484,220,197,277,304,223,157,183,140,140,120,127,78,93,107,217,311,324,349,357,374,354,374,392,397
"Dwarka-Sector 8, Delhi - DPCC ",28.57103,77.0719,187,237,303,311,250,213,304,177,213,103,113,97,130,328,342,345,353,339,329,0,0,0,0,0
"IGI Airport (T3), Delhi - IMD",28.56278,77.11801,183,173,178,129,154,164,108,0,0,0,0,0,0,83,128,314,325,339,317,322,322,381,390,375
"Punjabi Bagh, Delhi - DPCC",28.67405,77.13102,163,180,200,310,319,339,223,157,130,0,157,85,87,160,293,332,344,375,369,362,425,420,395,410
"Pusa, Delhi - DPCC",28.63965,77.14628,157,133,160,237,280,253,250,123,103,103,88,85,68,68,68,92,167,230,257,280,327,380,373,365
"Pusa, Delhi - IMD",28.63611,77.17333,91,81,127,212,242,253,197,140,123,107,110,95,69,108,128,254,309,323,316,306,350,370,361,371
"R K Puram, Delhi - DPCC",28.56326,77.18694,233,187,303,303,187,253,230,123,133,147,197,167,160,270,341,363,385,382,344,345,349,368,380,367
"Rohini, Delhi - DPCC",28.73253,77.11992,316,341,237,302,305,260,217,167,127,97,48,87,97,143,308,322,371,422,417,431,420,416,411,401
"Shadipur, Delhi - CPCB",28.65148,77.14731,0,131,0,120,112,113,100,98,94,84,85,73,92,235,323,320,336,331,325,308,317,322,329,340
"Sonia Vihar, Delhi - DPCC",28.71051,77.24949,53,57,60,80,332,358,348,339,334,351,345,342,343,342,339,327,325,372,339,334,351,345,342,343
"Sri Aurobindo Marg, Delhi - DPCC",28.53135,77.19016,218,181,175,212,201,156,196,103,93,156,152,143,128,128,118,191,244,311,319,329,333,345,342,262
"Lodhi Road, Delhi - IITM",28.58833,77.22167,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,280,287,317,343,344,351
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.61128,77.23774,200,167,197,253,257,270,167,223,167,170,147,160,75,97,177,220,308,331,332,338,361,426,426,410
"Mandir Marg, Delhi - DPCC",28.63643,77.20107,173,167,190,263,302,243,157,137,123,92,123,78,60,70,137,220,314,334,338,325,343,397,392,400
"IHBAS, Dilshad Garden, Delhi - CPCB",28.68117,77.30252,65,72,54,121,84,106,119,132,211,151,192,197,213,133,115,307,289,113,119,132,211,151,192,197
"ITO, Delhi - CPCB",28.62862,77.24106,222,202,222,284,316,226,183,219,200,178,130,112,84,133,302,318,346,354,357,365,423,440,422,411
"Mundka, Delhi - DPCC",28.68468,77.07657,297,200,305,345,297,243,304,233,220,133,110,70,97,230,306,324,392,414,413,401,417,425,421,426
"Najafgarh, Delhi - DPCC",28.57017,76.93376,147,147,183,220,287,200,177,157,123,223,110,120,107,157,177,183,213,193,217,302,280,376,382,362
"Nehru Nagar, Delhi - DPCC",28.56789,77.25052,280,253,338,301,267,237,220,187,150,157,147,123,103,391,384,375,390,393,365,380,372,411,422,413
"Okhla Phase-2, Delhi - DPCC",28.53079,77.27126,233,200,240,250,207,187,217,157,130,103,140,88,83,197,280,336,384,371,385,374,374,392,407,404
"Patparganj, Delhi - DPCC",28.62376,77.28721,200,167,207,217,267,230,200,217,177,127,103,67,57,130,277,332,344,361,358,351,404,396,387,374
"CRRI Mathura Road, Delhi - IMD",28.5512,77.27357,0,145,54,167,85,187,97,89,33,207,266,57,93,216,302,335,345,350,360,375,354,389,371,364
"Chandni Chowk, Delhi - IITM",28.65676,77.22723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,334,343,357,369,374,381
"Vivek Vihar, Delhi - DPCC",28.67234,77.31526,0,0,0,0,274,290,304,191,165,116,0,75,110,217,332,352,372,392,397,412,422,412,415,397
"Wazirpur, Delhi - DPCC",28.69979,77.16545,293,307,305,280,311,253,187,150,170,133,140,75,95,167,302,335,402,414,407,417,418,411,413,422
"Jahangirpuri, Delhi - DPCC",28.73282,77.17063,283,270,233,277,283,263,237,147,160,130,167,123,207,338,453,363,355,407,389,428,394,391,385,384
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.23383,133,197,163,177,127,150,110,92,123,92,93,88,63,60,150,240,287,341,334,356,316,356,382,376
"Aya Nagar, Delhi - IMD",28.47069,77.10994,116,166,175,147,145,105,98,86,88,87,93,99,165,197,236,0,288,328,334,0,0,365,372,365
"Lodhi Road, Delhi - IMD",28.59182,77.22731,122,85,81,122,130,174,123,114,127,195,131,117,181,72,98,169,148,211,280,287,317,323,344,351
"Bawana, Delhi - DPCC",28.7762,77.05107,311,327,331,338,307,277,240,230,187,157,87,73,110,312,320,367,408,401,446,434,410,404,395,386
"Burari Crossing, Delhi - IMD",28.72565,77.20116,223,207,117,145,137,0,200,171,,57,83,91,149,164,222,318,334,309,324,322,345,329,333,325
"NSIT Dwarka, Delhi - CPCB",28.60909,77.03254,123,189,234,206,135,201,246,231,218,191,185,162,199,169,232,305,325,342,360,335,350,333,341,346
"Narela, Delhi - DPCC",28.82284,77.10198,363,337,326,318,270,269,309,208,139,92,98,95,87,112,314,338,372,379,393,412,406,388,383,388
"North Campus, DU, Delhi - IMD",28.65738,77.15854,124,141,141,211,0,0,0,0,0,0,0,79,92,112,198,339,347,344,362,370,378,382,400,413
"Sirifort, Delhi - CPCB",28.55042,77.21594,245,264,279,304,253,207,200,123,181,171,147,153,138,183,262,323,331,349,354,364,361,382,411,413
