Station_Names,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,
"Alipur, Delhi - DPCC",386,382,401,395,388,355,267,223,207,207,83,77,93,177,273,315,270,308,337,387,370,358,371,348,
"Anand Vihar, Delhi - DPCC",407,422,418,426,410,349,320,147,127,203,197,207,130,133,335,325,318,338,362,413,405,358,330,329,
"Ashok Vihar, Delhi - DPCC",430,408,418,420,411,371,318,140,127,143,83,97,157,203,302,303,257,308,314,329,352,327,309,304,
"DTU, Delhi - CPCB",219,209,241,296,305,161,130,73,64,51,61,55,53,79,107,85,94,136,117,89,108,162,143,139,
"Dr. Karni Singh Shooting Range, Delhi - DPCC",393,373,387,375,378,345,305,253,237,187,180,123,103,130,157,200,304,338,342,341,293,301,302,277,
"Dwarka-Sector 8, Delhi - DPCC ",0,0,0,0,387,328,200,177,78,78,70,78,70,167,217,302,318,318,315,309,303,293,302,302,
"IGI Airport (T3), Delhi - IMD",389,375,364,340,306,276,215,188,119,59,60,52,87,96,0,0,0,262,307,286,221,237,214,234,
"Punjabi Bagh, Delhi - DPCC",406,392,402,419,388,358,309,183,127,120,63,77,95,157,203,293,304,308,323,332,342,338,316,318,
"Pusa, Delhi - DPCC",269,363,350,348,372,318,147,237,143,60,73,73,92,120,180,257,277,223,200,230,220,223,200,177,
"Pusa, Delhi - IMD",355,344,340,331,329,304,304,175,153,82,92,62,82,93,130,201,185,279,239,235,215,162,151,157,
"R K Puram, Delhi - DPCC",395,407,425,405,395,341,203,167,143,160,120,73,88,133,203,304,297,312,310,325,308,290,267,213,
"Rohini, Delhi - DPCC",414,423,430,455,424,353,345,233,301,78,123,140,143,140,250,322,328,345,352,342,357,339,338,327,
"Shadipur, Delhi - CPCB",335,331,346,334,315,296,181,99,107,82,0,77,95,96,131,139,176,232,220,208,212,214,201,269,
"Sonia Vihar, Delhi - DPCC",342,339,327,325,372,332,293,223,127,113,133,72,60,113,163,137,177,173,153,160,183,153,147,160,
"Sri Aurobindo Marg, Delhi - DPCC",376,378,377,373,355,329,239,144,170,163,129,86,83,78,83,118,183,200,205,204,206,187,222,209,
"Lodhi Road, Delhi - IITM",340,348,344,337,314,319,145,95,164,132,104,93,74,118,223,193,156,182,0,0,0,0,0,0,
"Major Dhyan Chand National Stadium, Delhi - DPCC",413,404,407,413,406,338,302,143,177,160,103,78,130,157,257,312,314,310,307,310,306,301,293,277,
"Mandir Marg, Delhi - DPCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IHBAS, Dilshad Garden, Delhi - CPCB",213,133,115,307,289,113,202,118,63,58,55,30,17,199,98,54,41,71,75,47,212,154,86,68,
"ITO, Delhi - CPCB",404,404,425,433,398,328,305,241,156,96,101,84,167,180,309,314,318,330,322,327,332,326,314,312,
"Mundka, Delhi - DPCC",444,457,457,485,451,423,358,110,87,140,92,73,110,130,203,315,318,398,332,365,346,376,383,345,
"Najafgarh, Delhi - DPCC",378,366,351,382,414,378,352,260,92,55,33,58,70,87,127,193,193,213,180,257,220,180,187,180,
"Nehru Nagar, Delhi - DPCC",431,416,428,401,396,375,318,302,280,233,193,250,147,203,260,319,314,332,318,302,260,293,273,354,
"Okhla Phase-2, Delhi - DPCC",383,395,406,413,402,341,318,302,237,200,197,177,180,110,143,287,312,328,332,304,280,310,306,307,
"Patparganj, Delhi - DPCC",375,378,416,404,401,369,203,103,140,130,87,163,95,113,240,310,307,319,310,309,287,334,315,312,
"CRRI Mathura Road, Delhi - IMD",362,360,371,341,325,251,206,178,160,0,124,147,155,104,151,265,316,326,333,312,290,279,301,315,
"Chandni Chowk, Delhi - IITM",395,401,394,383,0,0,0,0,263,321,200,180,134,130,152,154,166,187,210,221,228,242,257,248,
"Vivek Vihar, Delhi - DPCC",387,396,411,437,410,351,303,181,127,148,116,171,127,298,366,346,330,348,365,386,387,346,328,338,
"Wazirpur, Delhi - DPCC",437,417,451,434,396,372,321,183,147,167,85,127,130,150,280,305,277,319,312,328,325,318,304,309,
"Jahangirpuri, Delhi - DPCC",375,402,429,457,408,345,247,143,160,170,87,173,207,220,293,277,253,220,227,312,315,305,300,297,
"Jawaharlal Nehru Stadium, Delhi - DPCC",367,358,368,362,333,335,273,123,120,97,92,68,55,98,133,217,240,293,293,309,250,183,183,193,
"Aya Nagar, Delhi - IMD",356,358,361,367,336,310,322,185,80,77,122,191,86,64,119,194,184,160,132,116,132,148,130,159,
"Lodhi Road, Delhi - IMD",340,348,344,337,314,319,145,95,164,132,104,93,74,118,223,193,156,182,165,226,223,140,167,192,
"Bawana, Delhi - DPCC",419,410,435,434,438,399,363,243,187,150,130,160,193,257,302,303,312,319,309,401,337,341,399,344,
"Burari Crossing, Delhi - IMD",331,336,321,335,326,294,141,141,145,133,96,79,85,148,166,155,114,119,132,183,307,308,299,251,
"NSIT Dwarka, Delhi - CPCB",337,323,317,321,332,333,303,304,184,173,144,110,156,172,105,206,198,252,240,282,187,295,184,230,
"Narela, Delhi - DPCC",394,397,416,415,404,383,327,276,236,120,181,138,183,229,304,330,345,336,323,332,329,227,327,330,
"North Campus, DU, Delhi - IMD",375,359,357,368,346,334,174,184,119,186,148,125,95,183,252,243,195,162,234,194,203,193,185,191,
"Sirifort, Delhi - CPCB",414,420,407,404,386,349,307,196,226,162,146,100,96,146,201,281,306,339,371,329,332,306,301,303,
