country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-02-2025 21:00:00,28.815329,77.15301,PM10,56.0,287.0,183.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-02-2025 21:00:00,28.815329,77.15301,CO,4.0,56.0,10.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,NH3,,,
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.695381,77.181665,PM10,96.0,398.0,204.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-02-2025 21:00:00,28.7500499,77.1112615,CO,16.0,50.0,26.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-02-2025 21:00:00,28.7500499,77.1112615,OZONE,24.0,57.0,43.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-02-2025 21:00:00,28.498571,77.26484,PM10,48.0,368.0,166.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",18-02-2025 21:00:00,28.498571,77.26484,CO,12.0,120.0,43.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-02-2025 21:00:00,28.5710274,77.0719006,PM2.5,23.0,407.0,220.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-02-2025 21:00:00,28.5710274,77.0719006,NO2,49.0,152.0,96.0
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",18-02-2025 21:00:00,28.5627763,77.1180053,PM2.5,16.0,312.0,166.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-02-2025 21:00:00,28.674045,77.131023,PM10,70.0,315.0,164.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-02-2025 21:00:00,28.674045,77.131023,NO2,26.0,78.0,55.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,SO2,8.0,22.0,14.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,CO,3.0,105.0,35.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-02-2025 21:00:00,28.63611,77.173332,PM10,56.0,253.0,140.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-02-2025 21:00:00,28.63611,77.173332,CO,6.0,117.0,28.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-02-2025 21:00:00,28.563262,77.186937,NO2,18.0,116.0,66.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-02-2025 21:00:00,28.563262,77.186937,NH3,6.0,9.0,8.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,CO,2.0,114.0,35.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,OZONE,4.0,98.0,58.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-02-2025 21:00:00,28.6514781,77.1473105,PM10,69.0,257.0,147.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-02-2025 21:00:00,28.6514781,77.1473105,NH3,8.0,12.0,9.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,NO2,30.0,102.0,66.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,NH3,6.0,9.0,7.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",18-02-2025 21:00:00,28.531346,77.190156,NH3,6.0,9.0,7.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",18-02-2025 21:00:00,28.588333,77.221667,PM2.5,,,
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.611281,77.237738,NH3,5.0,13.0,10.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.611281,77.237738,CO,6.0,123.0,37.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18-02-2025 21:00:00,28.636429,77.201067,NH3,9.0,11.0,10.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18-02-2025 21:00:00,28.636429,77.201067,SO2,1.0,40.0,15.0
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",18-02-2025 21:00:00,28.5627763,77.1180053,PM10,40.0,434.0,175.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,NH3,,,
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,PM2.5,32.0,330.0,210.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,OZONE,9.0,36.0,22.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-02-2025 21:00:00,28.684678,77.076574,PM2.5,45.0,378.0,247.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-02-2025 21:00:00,28.684678,77.076574,PM10,119.0,432.0,262.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-02-2025 21:00:00,28.684678,77.076574,CO,6.0,46.0,20.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,PM2.5,27.0,329.0,182.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,NO2,69.0,114.0,88.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",18-02-2025 21:00:00,28.56789,77.250515,NH3,7.0,18.0,10.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",18-02-2025 21:00:00,28.530785,77.271255,PM2.5,30.0,318.0,192.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-02-2025 21:00:00,28.623763,77.287209,NH3,6.0,12.0,8.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-02-2025 21:00:00,28.5512005,77.2735737,PM10,86.0,450.0,266.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",18-02-2025 21:00:00,28.5512005,77.2735737,NO2,81.0,145.0,112.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-02-2025 21:00:00,28.656756,77.227234,PM2.5,84.0,306.0,230.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",18-02-2025 21:00:00,28.531346,77.190156,OZONE,3.0,119.0,88.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.672342,77.31526,PM2.5,27.0,330.0,210.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.672342,77.31526,PM10,74.0,263.0,163.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.672342,77.31526,NO2,13.0,109.0,57.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.672342,77.31526,CO,32.0,124.0,53.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",18-02-2025 21:00:00,28.699793,77.165453,NH3,15.0,27.0,21.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",18-02-2025 21:00:00,28.699793,77.165453,OZONE,3.0,151.0,89.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,PM10,48.0,223.0,141.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,NH3,7.0,20.0,12.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,SO2,2.0,27.0,12.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,CO,36.0,136.0,64.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-02-2025 21:00:00,28.73282,77.170633,NO2,21.0,98.0,63.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-02-2025 21:00:00,28.73282,77.170633,NH3,5.0,14.0,10.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-02-2025 21:00:00,28.73282,77.170633,CO,40.0,121.0,68.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.58028,77.233829,NO2,53.0,171.0,115.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.58028,77.233829,NH3,8.0,12.0,10.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.58028,77.233829,CO,16.0,138.0,43.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",18-02-2025 21:00:00,28.815329,77.15301,NO2,29.0,113.0,72.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,PM2.5,,,
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,PM10,,,
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,NO2,,,
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,OZONE,4.0,16.0,12.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.695381,77.181665,PM2.5,40.0,358.0,231.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.695381,77.181665,NH3,12.0,16.0,14.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.695381,77.181665,SO2,14.0,35.0,24.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-02-2025 21:00:00,28.4706914,77.1099364,PM10,38.0,204.0,108.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",18-02-2025 21:00:00,28.5918245,77.2273074,PM2.5,40.0,271.0,136.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",18-02-2025 21:00:00,28.5918245,77.2273074,PM10,74.0,232.0,146.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.611281,77.237738,NO2,37.0,155.0,99.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.611281,77.237738,OZONE,1.0,115.0,71.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18-02-2025 21:00:00,28.636429,77.201067,NO2,137.0,164.0,149.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18-02-2025 21:00:00,28.636429,77.201067,CO,60.0,108.0,68.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18-02-2025 21:00:00,28.636429,77.201067,OZONE,1.0,3.0,2.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-02-2025 21:00:00,28.4706914,77.1099364,OZONE,58.0,90.0,79.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-02-2025 21:00:00,28.7762,77.051074,NO2,11.0,84.0,39.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-02-2025 21:00:00,28.7762,77.051074,CO,12.0,80.0,28.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-02-2025 21:00:00,28.7256504,77.2011573,PM2.5,34.0,307.0,187.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-02-2025 21:00:00,28.656756,77.227234,OZONE,9.0,35.0,23.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-02-2025 21:00:00,28.7500499,77.1112615,PM10,11.0,374.0,171.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-02-2025 21:00:00,28.5710274,77.0719006,SO2,8.0,23.0,14.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-02-2025 21:00:00,28.5710274,77.0719006,OZONE,4.0,65.0,45.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,PM10,,,
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,NO2,,,
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,NH3,13.0,16.0,14.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,PM10,28.0,179.0,116.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,SO2,13.0,22.0,17.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",18-02-2025 21:00:00,28.822836,77.101981,OZONE,5.0,8.0,6.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",18-02-2025 21:00:00,28.56789,77.250515,PM10,63.0,285.0,174.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-02-2025 21:00:00,28.623763,77.287209,PM10,91.0,311.0,187.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-02-2025 21:00:00,28.623763,77.287209,OZONE,1.0,185.0,95.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,OZONE,2.0,28.0,15.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-02-2025 21:00:00,28.63611,77.173332,PM2.5,33.0,307.0,146.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-02-2025 21:00:00,28.6514781,77.1473105,SO2,2.0,51.0,17.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-02-2025 21:00:00,28.6514781,77.1473105,OZONE,11.0,46.0,22.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,PM2.5,17.0,301.0,154.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,SO2,7.0,22.0,12.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,CO,24.0,123.0,101.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.710508,77.249485,OZONE,2.0,98.0,69.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-02-2025 21:00:00,28.674045,77.131023,OZONE,2.0,84.0,50.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,PM2.5,40.0,341.0,152.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,NO2,58.0,138.0,89.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",18-02-2025 21:00:00,28.639652,77.146275,NH3,3.0,19.0,13.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-02-2025 21:00:00,28.63611,77.173332,NO2,9.0,122.0,69.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",18-02-2025 21:00:00,28.63611,77.173332,OZONE,22.0,85.0,61.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-02-2025 21:00:00,28.563262,77.186937,SO2,26.0,87.0,54.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",18-02-2025 21:00:00,28.563262,77.186937,CO,19.0,138.0,47.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,PM10,78.0,432.0,208.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-02-2025 21:00:00,28.684678,77.076574,SO2,7.0,35.0,14.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,PM2.5,82.0,263.0,175.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,NO2,47.0,112.0,68.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,SO2,2.0,28.0,10.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,CO,20.0,136.0,108.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,CO,40.0,78.0,47.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,OZONE,8.0,154.0,119.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",18-02-2025 21:00:00,28.822836,77.101981,PM10,65.0,222.0,143.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",18-02-2025 21:00:00,28.822836,77.101981,NO2,6.0,12.0,9.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",18-02-2025 21:00:00,28.56789,77.250515,OZONE,2.0,159.0,103.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",18-02-2025 21:00:00,28.6573814,77.1585447,PM10,78.0,306.0,174.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",18-02-2025 21:00:00,28.530785,77.271255,NO2,41.0,130.0,95.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",18-02-2025 21:00:00,28.530785,77.271255,NH3,8.0,19.0,13.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",18-02-2025 21:00:00,28.530785,77.271255,SO2,9.0,24.0,16.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-02-2025 21:00:00,28.674045,77.131023,NH3,10.0,16.0,12.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",18-02-2025 21:00:00,28.588333,77.221667,PM10,85.0,284.0,182.0
