Station,Latitude,Longitude,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
"Alipur, Delhi - DPCC",28.815329,77.15301,110,120,140,160,309,335,327,421,342,339,309,280,213,160,163,120,92,67,70,73,170,306,338,351
"Anand Vihar, Delhi - DPCC",28.647622,77.315809,217,190,167,160,197,273,304,305,243,277,277,247,0,0,0,0,137,75,82,320,326,370,380,408
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,305,243,280,310,267,302,280,250,243,260,287,237,233,160,167,127,127,83,80,120,312,332,350,388
"DTU, Delhi - CPCB",28.7500499,77.1112615,78,50,82,88,98,70,87,167,95,115,106,0,38,122,81,85,46,57,47,46,108,242,220,273
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,233,257,217,203,240,230,220,197,277,304,223,157,183,140,140,120,127,78,93,107,217,311,324,349
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,270,257,230,220,200,217,187,237,303,311,250,213,304,177,213,103,113,97,130,328,342,345,353,339
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,147,227,219,193,156,133,183,173,178,129,154,164,108,0,0,0,0,0,0,83,128,314,325,339
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,157,193,307,270,250,187,163,180,200,310,319,339,223,157,130,0,157,85,87,160,293,332,344,375
"Pusa, Delhi - DPCC",28.639652,77.146275,167,170,223,170,183,167,157,133,160,237,280,253,250,123,103,103,88,85,68,68,68,92,167,230
"Pusa, Delhi - IMD",28.63611,77.173332,152,110,121,133,167,132,91,81,127,212,242,253,197,140,123,107,110,95,69,108,128,254,309,323
"R K Puram, Delhi - DPCC",28.563262,77.186937,220,267,217,213,230,120,233,187,303,303,187,253,230,123,133,147,197,167,160,270,341,363,385,382
"Rohini, Delhi - DPCC",28.732528,77.11992,243,273,237,305,318,293,316,341,237,302,305,260,217,167,127,97,48,87,97,143,308,322,371,422
"Shadipur, Delhi - CPCB",28.6514781,77.1473105,0,307,0,156,154,166,0,131,0,120,112,113,100,98,94,84,85,73,92,235,323,320,336,331
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,107,160,137,110,100,68,53,57,60,80,332,358,348,339,334,351,345,342,343,342,339,327,325,372
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,141,202,245,218,297,254,218,181,175,212,201,156,196,103,93,156,152,143,128,128,118,191,244,311
